SECNAME,STARTDATE,ORGNAME,F029N,F008N,SECCODE,F049N,ENDDATE,F016N,F025N,F014N,F026N,F003N,F089N,F023N,F056N,F101N,F043N,F044N,F022N,F041N,F052N,F042N
国民技术,2018-01-01,国民技术股份有限公司,0.325,1.9498,300077,64.417,2018-12-31,-55.036,0.205,-148.476,3.389,-2.894935,602059726.51,2.076,-5.56,-1785861063.78,0.669,27.735,1.411,62.908,-13.367,0.774
国民技术,2019-01-01,国民技术股份有限公司,0.368,2.1159,300077,64.766,2019-12-31,4.274,0.162,8.808,1.142,0.186366,394733173.32,1.625,-29.324,42911652.36,0.723,28.116,1.098,45.997,-34.436,0.937
思创医惠,2018-01-01,思创医惠科技股份有限公司,0.842,2.7132,300078,136.727,2018-12-31,4.536,0.409,6.546,3.987,0.17759,1294633555.55,2.834,18.003,140964669.43,1.452,49.115,1.882,34.385,16.398,1.703
思创医惠,2019-01-01,思创医惠科技股份有限公司,0.801,3.3655,300078,166.251,2019-12-31,3.86,0.412,5.104,4.844,0.171782,1573993606.47,3.804,23.379,146241388.71,1.988,52.608,1.717,30.31,21.578,2.23
数码视讯,2018-01-01,北京数码视讯科技股份有限公司,0.546,2.5752,300079,276.114,2018-12-31,1.904,0.354,2.284,3.498,0.058821,1566240828.21,2.648,8.945,84016014.78,2.898,159.846,1.963,20.091,16.004,3.281
数码视讯,2019-01-01,北京数码视讯科技股份有限公司,0.354,2.6899,300079,431.84,2019-12-31,1.547,0.225,1.817,2.537,0.048868,1016372858.55,2.21,-4.389,69390989.96,4.634,325.837,1.454,12.913,-35.107,4.914
创世纪,2018-01-01,广东劲胜智能集团股份有限公司,0.919,1.9101,300083,49.198,2018-12-31,-29.237,0.562,-104.787,3.879,-2.001579,5506543758.79,1.633,-24.769,-2867923876.89,0.546,9.195,3.387,67.165,-14.251,0.952
创世纪,2019-01-01,广东劲胜智能集团股份有限公司,1.198,1.9195,300083,74.744,2019-12-31,0.16,0.691,0.454,5.413,0.008788,5439269237.63,2.808,-12.921,7484606.06,0.776,18.589,3.662,62.2,-1.222,1.137
长信科技,2018-01-01,芜湖长信科技股份有限公司,2.673,2.1126,300088,90.935,2018-12-31,8.47,1.144,14.661,3.332,0.309725,9614875119.47,14.868,24.521,725782795.16,0.957,35.793,6.601,47.427,-11.663,1.089
长信科技,2019-01-01,芜湖长信科技股份有限公司,1.588,2.5679,300088,117.161,2019-12-31,9.218,0.657,13.411,1.816,0.347627,6023777582.46,9.779,-3.281,859586315.37,1.342,46.401,4.352,29.355,-37.349,1.518
