SECNAME,STARTDATE,ORGNAME,F029N,F008N,SECCODE,F049N,ENDDATE,F016N,F025N,F014N,F026N,F003N,F089N,F023N,F056N,F101N,F043N,F044N,F022N,F041N,F052N,F042N
艾比森,2019-01-01,深圳市艾比森光电股份有限公司,1.378,3.9994,300389,128.431,2019-12-31,4.925,1.001,8.386,5.858,0.335378,2180567053.12,4.138,5.885,103652958.93,1.381,63.355,3.748,43.015,9.757,1.747
天华超净,2018-01-01,苏州天华超净科技股份有限公司,1.641,2.5279,300390,164.385,2018-12-31,4.647,0.719,5.772,3.289,0.145921,778359980.85,5.408,10.176,53225937.65,1.703,78.477,4.2,21.915,5.708,2.181
天华超净,2019-01-01,苏州天华超净科技股份有限公司,1.691,1.5984,300390,119.17,2019-12-31,5.423,0.665,7.018,3.205,0.112176,758142391.76,4.891,1.094,64839984.08,1.228,37.549,4.315,21.726,-2.597,1.691
中来股份,2018-01-01,苏州中来光伏新材股份有限公司,0.769,10.4224,300393,114.582,2018-12-31,2.062,0.441,5.006,1.841,0.52177,2691837885.37,3.895,-3.103,130565269.29,1.278,46.458,3.835,57.214,-16.992,1.526
中来股份,2019-01-01,苏州中来光伏新材股份有限公司,0.941,7.33,300393,87.831,2019-12-31,3.332,0.477,8.697,1.768,0.677214,3477899159.04,3.961,43.214,261274223.23,1.086,34.596,4.985,59.271,29.202,1.327
天孚通信,2018-01-01,苏州天孚光通信股份有限公司,0.645,5.3818,300394,339.869,2018-12-31,13.004,0.425,12.659,1.751,0.681264,442889123.36,3.559,34.357,136094093.1,7.516,143.729,3.94,10.301,31.035,8.115
天孚通信,2019-01-01,苏州天孚光通信股份有限公司,0.606,5.8801,300394,222.825,2019-12-31,13.119,0.412,14.244,1.962,0.837533,522930856.11,3.648,12.529,167278396.82,5.309,68.971,3.52,12.882,18.073,5.802
天和防务,2018-01-01,西安天和防务技术股份有限公司,0.333,4.3759,300397,170.596,2018-12-31,-11.339,0.176,-16.208,0.715,-0.709232,263987162.81,0.966,-12.568,-169639377.62,1.886,79.113,1.267,20.105,-25.45,2.633
天和防务,2019-01-01,西安天和防务技术股份有限公司,1.079,4.7341,300397,117.248,2019-12-31,5.433,0.543,7.638,2.341,0.361583,867780083.99,1.917,28.081,146590237.7,1.26,28.387,3.356,29.495,228.721,1.908
三环集团,2018-01-01,潮州三环(集团)股份有限公司,0.73,4.0105,300408,249.031,2018-12-31,16.566,0.471,18.861,2.207,0.756405,3750072862.64,2.587,14.159,1323624068.41,4.398,86.734,3.874,17.251,19.818,5.039
三环集团,2019-01-01,潮州三环(集团)股份有限公司,0.51,4.3082,300408,934.859,2019-12-31,10.215,0.32,11.602,1.455,0.499816,2726451719.14,2.082,0.998,874074765.57,9.703,225.018,3.67,12.387,-27.296,11.053
中光防雷,2018-01-01,四川中光防雷科技股份有限公司,0.456,4.9432,300414,358.142,2018-12-31,5.481,0.388,6.342,5.368,0.313521,379783867.95,3.008,2.161,52499604.71,5.882,175.47,1.929,14.458,4.245,6.593
中光防雷,2019-01-01,四川中光防雷科技股份有限公司,0.472,2.7154,300414,446.999,2019-12-31,4.994,0.401,5.664,5.314,0.153799,400529175.3,2.911,2.414,46143085.68,6.418,248.008,2.034,13.104,5.462,7.183
蓝思科技,2018-01-01,蓝思科技股份有限公司,1.928,4.3432,300433,53.827,2018-12-31,1.615,0.703,3.735,1.398,0.162221,27717496839.46,8.629,20.765,600603256.77,0.582,22.492,4.647,60.392,16.937,0.72
蓝思科技,2019-01-01,蓝思科技股份有限公司,1.95,5.1951,300433,65.677,2019-12-31,5.476,0.671,11.041,1.295,0.580753,30257760248.61,7.578,9.014,2429311929.84,0.706,29.81,4.673,52.29,9.165,0.875
汉邦高科,2018-01-01,北京汉邦高科数字技术股份有限公司,0.442,8.6528,300449,135.846,2018-12-31,0.54,0.259,0.75,74.901,0.064914,526085767.84,2.937,28.91,10986518.56,1.587,29.54,0.735,36.041,-23.817,1.755
汉邦高科,2019-01-01,北京汉邦高科数字技术股份有限公司,0.456,3.0623,300449,94.102,2019-12-31,-25.758,0.256,-55.998,52.982,-1.714836,515414228.13,4.659,-23.939,-519181341.07,1.25,10.295,0.772,46.764,-2.028,1.331
康拓红外,2018-01-01,北京康拓红外技术股份有限公司,0.91,1.7007,300455,117.683,2018-12-31,11.174,0.695,14.447,6.268,0.245693,778509157.06,2.144,74.089,125205200.73,1.252,40.758,2.424,39.111,163.99,1.941
康拓红外,2019-01-01,北京康拓红外技术股份有限公司,0.656,2.0071,300455,162.641,2019-12-31,7.736,0.501,9.939,5.556,0.199477,927742355.27,1.563,60.076,143177885.94,1.726,93.787,2.05,36.772,19.169,2.283
赛微电子,2018-01-01,北京耐威科技股份有限公司,0.46,5.3246,300456,85.65,2018-12-31,2.787,0.223,5.908,3.587,0.314591,712497308.59,2.849,5.885,94150660.31,1.062,46.013,1.834,42.459,18.651,1.215
赛微电子,2019-01-01,北京耐威科技股份有限公司,0.469,4.3758,300456,208.613,2019-12-31,3.098,0.193,4.11,2.225,0.179839,717966331.76,1.903,27.027,105354607.35,2.575,128.967,1.838,19.348,0.768,3.019
全志科技,2018-01-01,珠海全志科技股份有限公司,0.66,6.4048,300458,548.521,2018-12-31,4.882,0.564,5.565,8.42,0.356447,1364689742.56,2.577,5.491,107744751.9,5.609,452.959,25.937,12.805,13.634,7.116
全志科技,2019-01-01,珠海全志科技股份有限公司,0.682,6.6545,300458,502.445,2019-12-31,5.329,0.579,6.119,10.079,0.407217,1463360308.85,2.295,3.386,132380714.85,5.082,488.529,36.001,14.342,7.23,6.265
惠伦晶体,2018-01-01,广东惠伦晶体科技股份有限公司,0.787,3.9004,300460,116.916,2018-12-31,-2.117,0.303,-3.397,0.725,-0.132488,318987012.27,2.007,-10.924,-22294391.32,1.194,27.28,2.318,33.849,-12.192,1.746
惠伦晶体,2019-01-01,广东惠伦晶体科技股份有限公司,0.763,3.1103,300460,108.41,2019-12-31,-14.788,0.345,-25.402,0.843,-0.790092,309942731.09,2.031,-18.769,-132952022.58,1.107,18.637,1.904,35.06,-2.835,1.697
景嘉微,2018-01-01,长沙景嘉微电子股份有限公司,0.279,7.3364,300474,1113.389,2018-12-31,7.973,0.223,6.435,3.372,0.472079,397217860.12,0.852,107.622,142287052.35,11.238,823.422,1.768,8.213,29.706,12.016
景嘉微,2019-01-01,长沙景嘉微电子股份有限公司,0.254,7.828,300474,1036.022,2019-12-31,7.029,0.212,7.461,2.297,0.584075,530787249.45,1.102,7.831,175966098.05,10.568,713.945,1.938,9.215,33.626,11.524
胜宏科技,2018-01-01,胜宏科技（惠州）股份有限公司,1.268,3.8662,300476,88.524,2018-12-31,8.019,0.696,12.786,1.984,0.494333,3303949316.51,6.506,31.945,380491765.66,0.914,28.155,3.152,44.874,35.289,1.078
胜宏科技,2019-01-01,胜宏科技（惠州）股份有限公司,1.402,4.2684,300476,57.855,2019-12-31,7.469,0.627,13.914,1.48,0.593911,3884618905.81,5.7,29.529,462745831.24,0.644,9.796,2.829,52.437,17.575,0.815
神思电子,2018-01-01,神思电子技术股份有限公司,0.875,3.3303,300479,154.588,2018-12-31,1.467,0.576,1.88,5.633,0.062618,405492306.05,2.005,48.504,22923038.99,1.708,52.085,2.286,28.888,14.003,2.332
神思电子,2019-01-01,神思电子技术股份有限公司,0.874,3.6683,300479,171.987,2019-12-31,2.234,0.53,3.195,6.431,0.117189,470389564.7,2.095,11.017,34636725.44,1.871,55.207,1.965,27.726,16.005,2.458
新易盛,2018-01-01,成都新易盛通信技术股份有限公司,0.767,4.7649,300502,239.476,2018-12-31,2.289,0.546,2.803,2.441,0.133546,759950284.5,1.688,-1.628,31832333.59,2.828,99.571,3.734,17.67,-13.383,4.052
新易盛,2019-01-01,成都新易盛通信技术股份有限公司,1.091,5.6162,300502,180.272,2019-12-31,13.982,0.765,16.028,3.616,0.900183,1164873682.36,2.364,20.706,212856556.51,2.513,77.754,4.651,20.249,53.283,3.593
天邑股份,2018-01-01,四川天邑康和通信股份有限公司,1.227,6.567,300504,117.768,2018-12-31,6.188,1.128,8.666,18.472,0.569088,2775005851.17,2.366,49.931,152178722.19,1.535,58.346,5.15,40.481,17.841,2.29
天邑股份,2019-01-01,四川天邑康和通信股份有限公司,0.856,6.7738,300504,228.504,2019-12-31,3.946,0.783,5.945,13.173,0.40268,2137738779.11,2.209,-15.005,107679883.36,2.304,87.316,3.709,27.767,-22.965,3.268
友讯达,2018-01-01,深圳友讯达科技股份有限公司,0.874,2.6434,300514,186.707,2018-12-31,6.294,0.836,9.928,35.793,0.262446,697491113.98,2.852,15.154,52489257.87,1.988,74.886,2.27,40.779,16.055,2.34
友讯达,2019-01-01,深圳友讯达科技股份有限公司,0.841,2.8595,300514,128.364,2019-12-31,5.219,0.765,9.307,33.628,0.266125,780403666.19,4.281,28.46,53225016.82,1.646,59.185,2.202,50.13,11.887,1.882
久之洋,2018-01-01,湖北久之洋红外系统股份有限公司,0.462,10.4049,300516,345.367,2018-12-31,4.633,0.373,5.021,2.79,0.522374,505110772.93,0.968,11.071,62684897.71,4.415,219.844,4.18,12.309,62.335,6.524
久之洋,2019-01-01,湖北久之洋红外系统股份有限公司,0.557,5.9835,300516,424.053,2019-12-31,4.71,0.433,5.783,2.397,0.346004,572701055.91,1.214,-14.277,62280706.06,4.362,234.687,4.912,11.76,13.381,6.365
优博讯,2018-01-01,深圳市优博讯科技股份有限公司,1.148,2.5303,300531,160.565,2018-12-31,11.486,0.933,16.549,39.703,0.418752,951939425.66,3.228,40.525,130522436.45,1.666,87.095,4.312,37.496,114.778,2.256
优博讯,2019-01-01,深圳市优博讯科技股份有限公司,0.864,3.9653,300531,138.305,2019-12-31,3.32,0.615,4.142,14.232,0.164254,951309604.48,2.334,59.355,55350994.13,1.502,95.411,3.905,32.98,-0.066,1.961
朗科智能,2018-01-01,深圳市朗科智能电气股份有限公司,1.43,5.5216,300543,117.223,2018-12-31,4.15,1.119,6.727,6.614,0.371455,1201848500.14,3.985,-4.978,44574584.04,1.346,53.656,6.188,36.703,1.439,2.1
朗科智能,2019-01-01,深圳市朗科智能电气股份有限公司,1.576,6.2455,300543,144.67,2019-12-31,9.095,1.234,13.611,7.756,0.850091,1400678303.78,3.869,16.862,102293639.98,1.501,70.041,6.975,37.963,16.544,2.102
雄帝科技,2018-01-01,深圳市雄帝科技股份有限公司,0.645,5.4487,300546,191.471,2018-12-31,10.602,0.59,14.646,39.711,0.798021,600457660.07,1.564,15.791,107841702.67,2.122,120.724,3.2,32.551,57.971,2.817
雄帝科技,2019-01-01,深圳市雄帝科技股份有限公司,0.734,6.2498,300546,313.843,2019-12-31,11.044,0.641,14.254,37.874,0.890833,706190812.82,1.822,1.931,122788311.69,3.184,201.209,3.089,22.944,17.609,3.817
博创科技,2018-01-01,博创科技股份有限公司,0.532,7.2852,300548,304.506,2018-12-31,0.332,0.392,0.384,2.897,0.027967,275110934.64,2.012,4.493,2331032.34,4.075,206.73,3.188,15.437,-21.225,5.122
博创科技,2019-01-01,博创科技股份有限公司,0.796,7.4424,300548,262.298,2019-12-31,1.049,0.549,1.254,3.647,0.093362,407171642.6,2.712,6.74,7783551.14,2.728,104.837,4.449,19.047,48.003,3.716
路通视信,2018-01-01,无锡路通视信网络股份有限公司,0.504,3.1621,300555,255.306,2018-12-31,1.251,0.413,1.622,3.556,0.051283,338794993.23,3.576,0.43,9538206.77,3.293,13.52,0.886,22.394,-10.19,3.69
路通视信,2019-01-01,无锡路通视信网络股份有限公司,0.402,3.1986,300555,365.563,2019-12-31,0.614,0.327,0.775,2.892,0.02478,263782163.09,3.409,-3.475,5128430.11,4.163,15.681,0.755,18.489,-22.141,4.478
神宇股份,2018-01-01,神宇通信科技股份公司,1.084,6.0493,300563,174.781,2018-12-31,6.913,0.58,9.121,1.586,0.551731,370194278.53,3.234,-1.359,44140646.51,1.836,43.211,2.623,23.674,14.116,2.499
神宇股份,2019-01-01,神宇通信科技股份公司,1.281,6.604,300563,180.593,2019-12-31,7.998,0.703,10.153,2.079,0.670494,471333552.18,3.672,11.522,53639876.11,1.829,28.285,3.025,25.284,27.321,2.477
科信技术,2018-01-01,深圳市科信通信技术股份有限公司,0.694,3.5523,300565,217.656,2018-12-31,1.57,0.51,2.261,3.703,0.080301,542620179.53,2.974,-7.494,16702529.06,2.258,106.161,1.858,27.735,-19.192,2.552
科信技术,2019-01-01,深圳市科信通信技术股份有限公司,0.548,3.2086,300565,167.384,2019-12-31,-8.295,0.343,-12.291,1.253,-0.394366,339068492.6,3.101,-6.573,-82028059.48,1.715,85.719,1.349,30.137,-37.513,2.063
激智科技,2018-01-01,宁波激智科技股份有限公司,0.951,3.9976,300566,70.367,2018-12-31,2.433,0.518,6.871,2.132,0.274681,908443997.71,3.323,18.267,41650835.02,0.722,12.675,2.145,66.574,23.048,0.931
激智科技,2019-01-01,宁波激智科技股份有限公司,0.977,4.3674,300566,68.485,2019-12-31,3.324,0.564,9.539,2.387,0.416613,1096211086.27,3.41,4.876,68338746.82,0.793,23.031,2.205,65.061,20.669,0.991
太辰光,2018-01-01,深圳太辰光通信股份有限公司,0.731,5.2926,300570,325.786,2018-12-31,11.134,0.579,12.547,5.544,0.664072,794078717.14,4.054,17.105,151235522.34,4.273,232.918,5.572,17.313,62.126,4.961
太辰光,2019-01-01,深圳太辰光通信股份有限公司,0.64,5.6633,300570,529.292,2019-12-31,11.333,0.508,12.902,3.428,0.730686,753231136.58,3.01,0.413,166157800.7,6.353,479.515,5.104,11.639,-5.144,7.425
晨曦航空,2018-01-01,西安晨曦航空科技股份有限公司,0.275,3.6421,300581,323.782,2018-12-31,8.841,0.238,10.325,3.961,0.376045,174004552.09,0.582,9.783,64589439.07,3.514,142.959,1.014,18.19,-2.212,4.893
晨曦航空,2019-01-01,西安晨曦航空科技股份有限公司,0.358,3.8491,300581,318.371,2019-12-31,6.176,0.303,7.351,4.959,0.282946,238683182.81,0.687,5.824,48598759.38,3.232,92.451,1.094,18.298,37.171,4.631
英飞特,2018-01-01,英飞特电子(杭州)股份有限公司,1.81,4.7433,300582,70.227,2018-12-31,4.63,0.636,7.339,1.895,0.348127,965306166.91,4.263,6.006,70281669.23,0.732,27.385,5.334,38.702,26.466,1.004
英飞特,2019-01-01,英飞特电子(杭州)股份有限公司,1.749,5.365,300582,81.967,2019-12-31,6.438,0.612,9.993,2.064,0.536126,1008783024.54,4.692,11.081,106153014.17,0.888,19.837,4.66,38.785,4.504,1.109
移为通信,2018-01-01,上海移为通信技术股份有限公司,0.565,5.3517,300590,133.125,2018-12-31,12.824,0.49,14.417,9.465,0.771567,476221676.86,2.414,20.465,124600313.91,3.613,80.689,6.904,18.607,31.391,4.259
移为通信,2019-01-01,上海移为通信技术股份有限公司,0.746,6.2205,300590,406.291,2019-12-31,14.436,0.56,16.153,6.598,1.004813,629466317.14,2.71,11.719,162267290.28,4.198,158.427,5.825,15.317,32.179,4.905
飞荣达,2018-01-01,深圳市飞荣达科技股份有限公司,1.065,5.62,300602,217.026,2018-12-31,9.774,0.798,14.157,6.406,0.795603,1325762766.91,5.5,29.126,166026730.31,2.19,85.708,2.807,38.103,27.919,2.59
飞荣达,2019-01-01,深圳市飞荣达科技股份有限公司,1.492,4.9933,300602,99.321,2019-12-31,12.714,0.948,22.937,5.97,1.145319,2615270806.16,5.306,94.52,352593044.85,1.136,18.119,3.062,50.731,97.265,1.462
欣天科技,2018-01-01,深圳市欣天科技股份有限公司,0.596,3.1784,300615,366.891,2018-12-31,2.913,0.443,3.327,2.115,0.105744,236909137.96,4.308,4.72,15571874.5,4.607,205.05,2.453,14.422,1.815,5.166
欣天科技,2019-01-01,深圳市欣天科技股份有限公司,0.566,2.5094,300615,536.572,2019-12-31,3.148,0.421,3.604,2.0,0.09055,229443756.13,4.103,-0.612,16946188.6,5.45,255.784,2.269,12.405,-3.151,5.991
光库科技,2018-01-01,珠海光库科技股份有限公司,0.562,6.1257,300620,163.462,2018-12-31,11.531,0.417,14.492,3.689,0.887722,289278322.69,2.678,45.31,81458592.42,2.125,114.403,4.397,32.335,25.601,2.453
光库科技,2019-01-01,珠海光库科技股份有限公司,0.71,7.0265,300620,242.28,2019-12-31,6.836,0.465,9.056,2.638,0.636331,390780046.21,3.139,4.815,59247070.23,2.862,156.716,4.042,25.561,35.088,3.279
捷捷微电,2018-01-01,江苏捷捷微电子股份有限公司,0.564,7.5123,300623,463.989,2018-12-31,11.34,0.368,12.269,1.366,0.921699,537470873.08,3.146,14.634,165668690.94,4.758,378.192,4.428,13.475,24.759,5.283
捷捷微电,2019-01-01,江苏捷捷微电子股份有限公司,0.497,8.331,300623,843.124,2019-12-31,9.447,0.336,8.446,1.755,0.621413,673997139.35,3.373,57.324,189634418.27,8.802,730.532,4.092,8.483,25.402,9.464
华测导航,2018-01-01,上海华测导航技术股份有限公司,0.833,3.5086,300627,182.668,2018-12-31,8.288,0.75,12.155,31.782,0.426474,952045274.67,3.297,20.506,107870002.35,2.373,90.52,3.261,36.653,40.388,2.728
华测导航,2019-01-01,上海华测导航技术股份有限公司,0.885,4.0621,300627,223.357,2019-12-31,9.307,0.769,14.0,22.738,0.568716,1145522663.43,3.027,14.942,142038850.55,2.467,98.948,2.741,36.318,20.322,2.826
亿联网络,2018-01-01,厦门亿联网络技术股份有限公司,0.561,11.6824,300628,277.636,2018-12-31,25.144,0.536,24.332,17.043,2.842559,1815359403.28,3.654,24.052,851477077.83,13.639,149.303,7.472,6.682,30.812,14.43
亿联网络,2019-01-01,厦门亿联网络技术股份有限公司,0.624,7.333,300628,962.694,2019-12-31,28.804,0.58,28.101,25.401,2.060658,2489346726.31,3.648,28.728,1235294618.36,9.661,24.818,7.031,8.937,37.127,10.287
新劲刚,2018-01-01,广东新劲刚新材料科技股份有限公司,0.599,3.5112,300629,215.129,2018-12-31,1.699,0.438,2.332,2.439,0.081891,211284379.99,2.406,-1.067,8189123.65,2.245,71.499,1.341,26.78,-15.622,2.904
新劲刚,2019-01-01,广东新劲刚新材料科技股份有限公司,0.473,5.2995,300629,185.2,2019-12-31,-3.319,0.245,-3.973,1.947,-0.216104,193608924.42,1.172,129.256,-26203840.77,1.97,34.074,1.117,40.005,-8.366,2.806
光莆股份,2018-01-01,厦门光莆电子股份有限公司,1.121,4.1418,300632,138.715,2018-12-31,12.506,0.817,19.014,3.952,0.787509,774505977.31,7.985,75.555,120178195.55,1.483,85.971,3.467,47.953,56.34,1.613
光莆股份,2019-01-01,厦门光莆电子股份有限公司,1.016,4.3654,300632,191.397,2019-12-31,13.906,0.789,21.691,5.193,0.946915,982801717.09,7.946,6.308,177055986.19,1.963,109.182,3.431,37.095,26.894,2.135
广和通,2018-01-01,深圳市广和通无线股份有限公司,1.704,3.6997,300638,132.188,2018-12-31,10.735,1.545,19.359,71.337,0.716213,1249101088.6,10.418,63.275,86796907.26,1.474,48.307,4.683,55.294,121.745,1.664
广和通,2019-01-01,深圳市广和通无线股份有限公司,1.386,9.7101,300638,211.803,2019-12-31,11.127,1.253,13.049,69.08,1.267094,1915070926.11,9.968,104.82,170074699.67,2.241,86.975,4.323,36.552,53.316,2.478
海信视像,2018-01-01,海信视像科技股份有限公司,1.487,10.7692,600060,122.389,2018-12-31,1.451,1.299,2.785,27.446,0.299892,35128278183.5,8.868,19.035,546767307.06,1.768,33.378,14.236,47.761,6.869,2.059
海信视像,2019-01-01,海信视像科技股份有限公司,1.379,11.1416,600060,143.1,2019-12-31,1.895,1.163,3.814,25.069,0.424975,34104738789.95,8.491,-0.423,806894177.38,1.833,28.325,13.398,44.435,-2.914,2.094
同方股份,2018-01-01,同方股份有限公司,0.782,5.3954,600100,67.825,2018-12-31,-6.1,0.39,-24.262,6.624,-1.309011,24832976037.59,2.14,0.023,-3495942911.2,0.785,31.982,3.247,68.726,-4.45,1.093
同方股份,2019-01-01,同方股份有限公司,0.716,5.5036,600100,80.408,2019-12-31,0.474,0.367,1.825,6.155,0.100441,23040436214.75,1.99,-2.612,538032478.95,0.852,38.436,3.075,66.746,-7.218,1.19
中国卫星,2018-01-01,中国东方红卫星股份有限公司,1.005,4.6278,600118,159.931,2018-12-31,4.14,0.752,7.632,6.291,0.353187,7583017858.94,5.454,7.066,469081581.62,1.822,84.296,3.079,36.4,2.681,2.179
中国卫星,2019-01-01,中国东方红卫星股份有限公司,0.769,4.8435,600118,148.329,2019-12-31,3.043,0.586,5.86,5.586,0.283827,6463262389.74,3.398,11.489,383155801.32,1.694,73.951,2.506,36.864,-14.767,2.171
波导股份,2018-01-01,宁波波导股份有限公司,0.852,1.1402,600130,242.609,2018-12-31,3.141,0.576,3.78,7.285,0.043103,607381787.44,7.914,-1.067,33102925.72,4.052,158.863,6.831,16.472,-62.503,4.337
波导股份,2019-01-01,宁波波导股份有限公司,0.731,1.1764,600130,464.065,2019-12-31,2.676,0.515,3.09,7.508,0.036349,537231885.5,12.653,-0.972,27916011.75,5.56,234.413,6.827,12.972,-11.55,5.8
航天机电,2018-01-01,上海航天汽车机电股份有限公司,1.114,4.1715,600151,97.847,2018-12-31,0.314,0.546,0.644,1.954,0.026866,6700888578.01,7.179,-12.424,31924596.78,1.111,29.594,3.441,41.588,0.657,1.359
航天机电,2019-01-01,上海航天汽车机电股份有限公司,1.526,3.6877,600151,69.827,2019-12-31,-6.711,0.616,-14.221,1.786,-0.524451,6909895395.0,7.465,-4.495,-757870235.49,0.924,22.671,3.91,47.1,3.119,1.116
上海贝岭,2018-01-01,上海贝岭股份有限公司,0.468,3.874,600171,706.241,2018-12-31,5.014,0.271,5.353,12.729,0.207386,784344437.44,4.096,10.595,146397318.4,7.46,592.914,6.027,9.863,39.594,8.218
上海贝岭,2019-01-01,上海贝岭股份有限公司,0.446,4.3233,600171,972.963,2019-12-31,7.487,0.273,7.912,15.503,0.342077,878629217.06,3.943,11.627,243482359.67,11.088,760.86,5.801,9.367,12.021,11.921
生益科技,2018-01-01,广东生益科技股份有限公司,1.485,3.0236,600183,153.895,2018-12-31,7.778,0.931,15.626,3.437,0.472478,11981081734.45,5.571,0.35,1064961688.49,1.563,29.791,3.14,46.907,11.453,2.026
生益科技,2019-01-01,广东生益科技股份有限公司,1.618,3.881,600183,110.582,2019-12-31,10.195,0.932,16.4,3.131,0.636487,13241085241.08,5.048,20.557,1563393933.92,1.258,20.2,3.147,39.79,10.517,1.657
大唐电信,2018-01-01,大唐电信科技股份有限公司,0.557,0.2099,600198,72.303,2018-12-31,7.003,0.291,304.441,3.834,0.639044,2343849430.3,3.103,-15.552,555326378.67,0.825,26.586,1.702,91.843,-46.09,0.951
大唐电信,2019-01-01,大唐电信科技股份有限公司,0.448,0.038,600198,50.142,2019-12-31,-13.688,0.218,-2680.808,2.745,-1.019515,1430647507.1,2.322,-21.721,-994554202.11,0.577,11.246,1.27,75.297,-38.962,0.677
福日电子,2018-01-01,福建福日电子股份有限公司,2.27,4.4962,600203,70.664,2018-12-31,0.642,1.693,2.03,16.971,0.091261,10988972054.46,7.853,42.864,29165447.14,0.838,19.209,5.52,72.407,33.965,1.125
福日电子,2019-01-01,福建福日电子股份有限公司,1.948,4.6094,600203,90.042,2019-12-31,0.583,1.504,2.095,17.851,0.096582,11377416397.58,8.094,-1.874,50002910.08,1.03,39.505,4.616,61.858,3.535,1.267
ST山水,2018-01-01,山西广和山水文化传播股份有限公司,4.99,0.267,600234,9.763,2018-12-31,-3.454,0.298,-31.37,54.343,-0.083769,146396293.3,2301.551,5.964,-10394415.56,0.118,6.121,31.904,85.592,910.829,0.118
ST山水,2019-01-01,山西广和山水文化传播股份有限公司,2.651,0.363,600234,25.381,2019-12-31,3.043,0.411,22.984,80.395,0.08343,227902943.03,22.016,19.753,18859219.22,0.287,16.187,18.033,84.605,55.675,0.322
铜峰电子,2018-01-01,安徽铜峰电子股份有限公司,0.861,2.206,600237,121.081,2018-12-31,0.486,0.452,0.766,1.061,0.016886,885377189.37,2.977,-5.364,10413256.9,1.268,47.303,3.332,32.766,8.854,1.676
铜峰电子,2019-01-01,安徽铜峰电子股份有限公司,0.834,1.9427,600237,113.756,2019-12-31,-8.35,0.449,-13.943,1.084,-0.270869,822056685.8,2.961,-7.893,-162284282.91,1.244,43.533,3.058,35.394,-7.152,1.634
凯乐科技,2018-01-01,湖北凯乐科技股份有限公司,0.982,7.7487,600260,19.57,2018-12-31,4.484,0.84,16.335,19.241,1.265719,16957836735.74,4.676,16.753,915547247.25,1.008,9.526,23.554,72.696,12.018,1.224
凯乐科技,2019-01-01,湖北凯乐科技股份有限公司,1.055,6.1787,600260,35.668,2019-12-31,4.933,0.896,14.129,18.411,0.87301,15859989821.03,4.518,-37.051,860562189.16,1.166,18.16,23.798,53.25,-6.474,1.548
航天信息,2018-01-01,航天信息股份有限公司,1.757,5.9678,600271,258.06,2018-12-31,7.9,1.364,14.557,25.491,0.868718,27940083194.12,21.439,10.061,2772366537.89,2.724,175.45,18.215,36.581,-6.098,2.922
航天信息,2019-01-01,航天信息股份有限公司,2.023,6.1689,600271,244.076,2019-12-31,6.391,1.521,11.953,27.403,0.765091,33904078037.08,29.271,7.761,2414681194.28,2.629,148.715,17.299,37.717,21.346,2.765
大恒科技,2018-01-01,大恒新纪元科技股份有限公司,1.535,3.5619,600288,111.199,2018-12-31,1.603,1.058,3.255,10.334,0.115945,3342279650.99,3.949,1.181,71517307.7,1.304,47.427,5.521,38.596,12.677,1.853
大恒科技,2019-01-01,大恒新纪元科技股份有限公司,1.464,3.7525,600288,121.565,2019-12-31,2.266,1.025,4.459,10.688,0.167325,3305797829.49,3.7,3.054,118935298.6,1.363,49.476,4.813,37.825,-1.092,1.928
天通股份,2018-01-01,天通控股股份有限公司,1.092,3.8399,600330,100.037,2018-12-31,4.977,0.458,7.41,1.371,0.284524,2610217314.21,3.115,8.865,290461342.8,1.118,44.464,3.621,34.927,19.77,1.493
天通股份,2019-01-01,天通控股股份有限公司,0.998,4.0808,600330,80.206,2019-12-31,2.566,0.439,3.994,1.293,0.162977,2779942961.87,2.748,13.12,167669614.37,0.93,29.36,2.793,38.36,6.502,1.318
长江通信,2018-01-01,武汉长江通信产业集团股份有限公司,0.374,9.6038,600345,358.334,2018-12-31,12.449,0.079,12.218,4.559,1.173349,147704241.34,8.508,17.387,230934077.77,3.641,286.931,1.783,5.642,-42.038,3.763
长江通信,2019-01-01,武汉长江通信产业集团股份有限公司,0.463,9.8845,600345,248.233,2019-12-31,5.488,0.086,5.762,5.091,0.569558,176267835.87,9.959,3.922,112786541.08,2.602,153.156,2.015,6.559,19.338,2.736
旭光电子,2018-01-01,成都旭光电子股份有限公司,0.809,1.8889,600353,206.062,2018-12-31,3.288,0.617,5.49,3.407,0.103708,1058854294.31,3.821,-2.515,61519019.34,2.077,71.687,2.924,29.981,-0.267,2.59
旭光电子,2019-01-01,成都旭光电子股份有限公司,0.871,2.0501,600353,172.513,2019-12-31,3.111,0.669,5.013,3.768,0.102763,1200618981.24,3.677,12.122,72073849.67,2.063,60.669,2.942,31.873,13.388,2.515
精伦电子,2018-01-01,精伦电子股份有限公司,1.161,0.7348,600355,118.241,2018-12-31,2.066,0.746,3.046,3.064,0.022377,397762506.41,2.093,4.451,11011621.73,1.258,52.159,5.244,33.815,16.352,1.988
精伦电子,2019-01-01,精伦电子股份有限公司,0.93,0.5996,600355,77.611,2019-12-31,-13.173,0.589,-22.926,2.446,-0.137463,302553923.7,1.964,-11.38,-67644101.22,1.107,40.353,4.538,39.101,-23.936,1.641
华微电子,2018-01-01,吉林华微电子股份有限公司,0.636,2.9916,600360,145.82,2018-12-31,2.505,0.404,4.715,1.593,0.141043,1709262283.67,6.963,7.5,107006286.15,1.485,99.635,3.992,49.014,4.549,1.584
